Country,Coal,Petroleum,Gas,Electricity,Biofuels
Mongolia,35096.4583,23.42622951,#N/A,5.69,#N/A
Montenegro,1397.99834,#N/A,#N/A,2.391,#N/A
Morocco,3.99999524,0.16,0.114001076,29.768,#N/A
Mozambique,6185.99264,0.281,5.700053795,16.737,13.32394025
Myanmar,549.999346,15.634,18.35017318,21.792,#N/A
Namibia,#N/A,#N/A,#N/A,1.644,#N/A
Nepal,20.999975,#N/A,#N/A,4.668,#N/A
Netherlands,#N/A,70.12843169,54.0605102,111.443,1690.260314
New Caledonia,#N/A,#N/A,#N/A,3.035,#N/A
New Zealand,2866.61859,43.90677596,5.138048491,42.994,19.85407407
Nicaragua,#N/A,#N/A,#N/A,4.424,7.89083031
Niger,246.999706,13.497,#N/A,0.519,#N/A
Nigeria,45.9999453,1938.542727,85.22380431,30.62,#N/A
North Korea,31059.9631,0.137,#N/A,16.061,#N/A
Northern Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,817.999027,2003.747525,163.2015402,146.544,5.091536364
Oman,#N/A,1012.885885,37.82035693,33.958,#N/A
Pakistan,4087.99514,88.26173224,41.20038883,126.052,7.891517229
Panama,#N/A,0.446,#N/A,10.79,20.40847727
Papua New Guinea,#N/A,56.07480328,9.800092489,3.931,#N/A
Paraguay,#N/A,4.767,#N/A,59.228,192.3230296
Peru,447.399464,141.8215601,17.32016346,51.339,137.5820112
Philippines,11210.9867,33.258,3.080029068,90.002,379.0692926
Poland,130631,53.36682514,6.148058023,160.604,1108.37695
Portugal,146.999825,12.932,#N/A,54.853,336.0414
Puerto Rico,#N/A,0.538,#N/A,16.691,#N/A
Qatar,#N/A,1987.192978,169.9276037,42.945,#N/A
Republic of Serbia,#N/A,#N/A,#N/A,#N/A,#N/A
Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A
Romania,22991.9727,96.46983607,11.40010759,61.072,207.1511357
Russia,383825.644,11262.7462,643.6060741,1034.436,456.8796199
Rwanda,#N/A,0.01,#N/A,0.677,#N/A
Saudi Arabia,#N/A,12402.76104,119.8311309,326.994,#N/A
Senegal,#N/A,#N/A,0.062000585,4.475,#N/A
Sierra Leone,#N/A,0.033,#N/A,0.209,#N/A
Slovakia,1846.9978,12.541,0.099000934,25.885,214.7594657
Slovenia,3348.99602,0.005,0.003000028,15.27,1.523287519
Solomon Islands,#N/A,#N/A,#N/A,0.107,#N/A
Somalia,#N/A,0.053735704,#N/A,0.347,#N/A
Somaliland,#N/A,#N/A,#N/A,#N/A,#N/A
South Africa,250599.702,136.517,1.170011042,236.373,327.6234503
South Korea,1726,108.419,0.188001774,530.551,487.1962948
South Sudan,#N/A,152.4590164,#N/A,0.51,#N/A
Spain,1984.15564,71.78266667,0.062000585,259.918,1658.997635
Sri Lanka,#N/A,-0.32,#N/A,15.091,#N/A
Sudan,#N/A,107.8525847,#N/A,15.214,35.51173594
Suriname,#N/A,16.401,#N/A,1.821,#N/A
Swaziland,157.999812,0.775,#N/A,0.569,35.50875929
Sweden,36.999956,12.411,#N/A,160.982,226.070897
Switzerland,#N/A,1.496,0.003000028,57.761,8.146458183
Syria,#N/A,34.60166667,6.200058514,17.207,#N/A
Taiwan,82.9999013,29.504,0.35600336,249.528,3.934977853
Tajikistan,1360.99838,0.173,0.020000189,17.884,#N/A
Thailand,16978.5808,531.3285902,43.46841024,177.097,2095.016428
The Bahamas,#N/A,#N/A,#N/A,1.747,#N/A
Togo,#N/A,#N/A,#N/A,0.233,#N/A
Trinidad and Tobago,#N/A,97.72560929,41.94539586,10.371,196.9169941
Tunisia,#N/A,41.634,2.475023358,19.172,#N/A
Turkey,73003.9132,66.30826776,0.381003596,283.086,136.8529601
Turkmenistan,#N/A,266.4266885,82.41277778,21.185,#N/A
Uganda,#N/A,#N/A,#N/A,3.933,#N/A
Ukraine,35616.9576,55.83243716,19.00017932,145.681,44.21180351
United Arab Emirates,#N/A,3772.788273,90.01184949,126.532,#N/A
United Kingdom,4177.79503,1083.928369,47.4374477,318.262,666.505238
United Republic of Tanzania,#N/A,#N/A,#N/A,#N/A,#N/A
United States of America,#N/A,#N/A,#N/A,#N/A,#N/A
Uruguay,#N/A,2.217,#N/A,13.546,45.51637083
Uzbekistan,4348.99483,71.47056831,57.70054455,58.507,#N/A
Vanuatu,#N/A,#N/A,#N/A,0.0591,#N/A
Venezuela,748.999109,2355.423552,80.19675686,103.866,#N/A
Vietnam,38526.9542,313.6327268,10.34009759,173.299,55.71793824
West Bank,#N/A,#N/A,#N/A,#N/A,#N/A
Western Sahara,#N/A,#N/A,#N/A,0.09,#N/A
Yemen,#N/A,21.95966667,12.60011891,4.503,#N/A
Zambia,126.049854,0.17,#N/A,14.028,#N/A
Zimbabwe,2699.99679,0.819,#N/A,7.31,37.5047191
