Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,#N/A,#N/A,#N/A,#N/A,0.076531379,0.08089376,0.112423053,0.118121203,0.108694336,0.127209766,0.132326938,0.140188345,0.145667407,0.135289307,0.137165141,0.165067507,0.225433227,0.279741674,0.422329783,0.48127022,0.6899336,0.529674009,0.705143316,0.921394007,1.199083224,1.23715159,1.303422024,0.892311538,0.72281677,0.833805738,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.140028431,0.1912379,0.238848319,0.342778157,0.415196535,0.502108267,0.395392014,0.480310853,0.585007871,0.5161809,0.568746347,0.58921022,0.509918576,0.532757834,0.636792227,#N/A,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.277883229,0.253303721,0.274513054,0.380164608,0.351076198,0.443062757,0.450618189,0.507252319,0.495087749,0.345571229,0.46932381,0.588191818,0.597124509,0.757329869,0.791546818,0.631919097,0.732070583,0.589810275,#N/A,#N/A,#N/A
Brazil,#N/A,3.438143488,3.141125734,3.162112,3.597531546,3.870083891,4.355782656,4.650493133,4.774593331,5.298581094,5.111986995,4.801141061,5.511891395,5.828659279,6.043864988,7.320322185,9.667724637,11.85286881,13.78061903,16.06488697,19.79424429,15.29947428,20.19151033,25.60387021,24.25780135,24.20329792,22.50984052,19.11268858,18.52353991,21.77392185,#N/A,#N/A,#N/A
Brunei,#N/A,#N/A,#N/A,#N/A,0.23012183,0.209394739,0.21103095,#N/A,#N/A,0.265707878,0.230682778,#N/A,#N/A,0.350820736,0.356573184,0.414434304,0.50691248,#N/A,0.763610267,0.769327855,1.056906911,0.717106647,0.890796562,1.245750648,1.300082776,1.14471867,1.050883288,0.635266249,0.487507531,0.557057521,#N/A,#N/A,#N/A
Bulgaria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.489018778,0.493966438,0.429292672,0.392452895,0.482184386,0.511388823,0.574886947,0.754017559,0.993108743,1.173932933,1.510145707,1.857512943,2.248550906,1.650251989,2.060800516,2.816521975,2.669878009,2.951057432,2.938654031,2.577874595,2.668818291,3.158841828,#N/A,#N/A,#N/A
Burkina Faso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.017094547,0.019857139,0.022457939,0.024670369,0.023644125,0.018391289,0.018824094,0.017055067,0.031398488,0.039207509,0.03322974,#N/A,0.045266344,0.04701139,0.079554176,0.128813362,0.231241171,0.241095068,0.265053821,0.284560323,0.217749662,0.252001234,0.279016244,#N/A,#N/A,#N/A
Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,0.01582629,0.01715967,0.017893938,0.008177578,0.006874493,0.008649576,0.00624129,0.004285475,0.004215584,0.002655988,0.006590321,0.008272471,0.011375596,0.02285224,0.015619539,0.014178575,0.011293171,0.011815646,0.019783566,0.024269976,0.020574881,0.014150068,0.01137907,0.012305582,0.014940644,#N/A,#N/A,#N/A
Cambodia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.138945474,0.149927436,0.19229915,0.211822394,0.279750709,0.301861301,0.356641291,0.353123691,0.435818829,0.499200958,0.559010409,0.670413696,0.57962736,0.66659031,0.684601931,0.854243364,1.006933158,#N/A,#N/A,#N/A,#N/A
Cameroon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.153871821,0.175786803,0.185930842,#N/A,#N/A,0.182262372,0.174496678,0.180926379,0.228256021,0.24767625,0.284865487,0.357641999,0.423011472,0.212672761,0.173240822,0.387843284,0.214738604,0.427498126,0.452092197,0.515951953,0.405264329,0.21304495,0.652731084,#N/A,#N/A,#N/A
