Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.304,3.245,4.162,4.32,7.157,8.471,9.282,10.191,10.058,10.259,10.401,10.815,12.263,12.146,12.803,11.277,14.177,15.04,16.498,14.583,13.449,16.767,15.488,15.004,17.022,15.689,#N/A,#N/A,#N/A
Botswana,0.443,0.502,0.489,0.434,0.445,0.456,0.538,0.846,0.8,0.797,0.852,0.879,1.088,1.027,1.044,1.047,0.759,0.87,1.026,1.043,0.89,0.949,0.842,0.681,0.74,0.815,0.746,0.578,0.552,0.417,0.5,0.449,0.329,0.869,2.175,2.79,2.527,2.841,#N/A,#N/A,#N/A
Brazil,138.302,140.153,150.027,160.452,178.097,190.671,199.241,200.45,211.78,218.294,219.953,231.439,238.84,249.251,256.896,272.198,287.656,304.275,317.819,329.689,342.573,323.168,340.297,358.896,381.182,395.721,411.925,437.1862,454.6772,458.6662,506.748,522.92,542.487,559.003,577.045,568.649,567.947,577.943,591.614,#N/A,#N/A
Brunei,0.439,0.479,0.534,0.682,0.781,0.852,0.901,0.938,1.047,1.089,1.163,1.256,1.324,1.454,1.563,1.848,1.996,2.263,2.353,2.288,2.39,2.424,2.539,3,3.068,3.068,3.1,3.191,3.218,3.395,3.564,3.5,3.694,4.138,4.236,3.948,4.014,3.908,#N/A,#N/A,#N/A
Bulgaria,32.854,34.868,38.112,40.185,42.08,39.184,39.354,40.916,42.409,42.615,39.449,36.721,33.704,35.952,36.066,39.569,41.067,39.854,39.253,35.912,38.318,40.653,40.755,39.528,38.8,41.245,42.688,40.252,41.724,39.632,43.134,46.78,43.73,40.505,44.332,46.27,42.289,42.53,43.432,#N/A,#N/A
Burkina Faso,0.098,0.108,0.115,0.117,0.113,0.115,0.122,0.133,0.143,0.153,0.174,0.182,0.19,0.205,0.206,0.232,0.263,0.282,0.312,0.348,0.318,0.327,0.365,0.445,0.472,0.489,0.52,0.581,0.589,0.664,0.543,0.538,0.634,0.7411,0.8812,1.0115,0.991,1.116,#N/A,#N/A,#N/A
Burundi,0.003,0.004,0.004,0.025,0.041,0.047,0.062,0.095,0.104,0.103,0.109,0.112,0.106,0.11,0.116,0.119,0.118,0.121,0.111,0.099,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.122,0.1489,0.147,0.15,0.167,0.182,0.174,0.178,0.22,#N/A,#N/A,#N/A
Cambodia,0.096,0.103,0.107,0.101,0.096,0.106,0.115,0.125,0.135,0.143,0.153,0.158,0.166,0.172,0.179,0.285,0.292,0.323,0.358,0.397,0.467,0.509,0.686,0.72,0.769,0.91,1.109,1.404,1.394,1.1843,0.9433,1.0003,1.3753,1.7233,2.9723,4.2363,5.3923,6.7193,#N/A,#N/A,#N/A
Cameroon,367.797,380.221,378.43,397.358,426.983,447.978,457.504,484.205,491.187,485.346,468.893,494.45,505.844,518.402,540.119,544.481,557.589,557.96,546.054,563.105,588.325,572.263,583.841,572.285,582.309,606.268,592.559,612.89,614.648,596.968,587.009,616.063,616.078,640.077,639.986,647.709,648.86,640.522,633.248,#N/A,#N/A
Canada,367.797,380.221,378.43,397.358,426.983,447.978,457.504,484.205,491.187,485.346,468.893,494.45,505.844,518.402,540.119,544.481,557.589,557.96,546.054,563.105,588.325,572.263,583.841,572.285,582.309,606.268,592.559,612.89,614.648,596.968,587.009,616.063,616.078,640.077,639.986,647.709,648.86,640.522,633.248,#N/A,#N/A
