Country,Import,Export
Switzerland,278665555.6,299308693.1,
Syria,17561575.59,11352923.63,
Tajikistan,643966,692346,
United Republic of Tanzania,8553677.024,4178109.063,
Thailand,249173519,236634037.7,
Togo,1614920.873,749255.0194,
Tonga,218185.76,18879.495,
Trinidad and Tobago,9297808.59,10755571.04,
Tunisia,20618072.73,14199816.34,
Turkey,223039038.1,156992940.4,
Turkmenistan,1785540.35,2505545.544,
Turks and Caicos Isl.,268531.134,11830.262,
Tuvalu,26395.142,62.431,
Uganda,6729436.5,2901465.68,
Ukraine,57187093.43,43428391.06,
United Arab Emirates,244645890.1,313559298.5,
United Kingdom,671694257.8,442065707.2,
United States of America,2611432490,1545809598,
Uruguay,8893245.998,7889387.375,
Uzbekistan,17313951.65,10079471,
Vanuatu,280646.739,63531.915,
Venezuela,44951787.13,87961213.3,
Vietnam,213215299.1,215118607,
Wallis and Futura Isl.,57200.285,0,
Yemen,6572822.909,509857.735,
Zambia,9461739.089,8157558.691,
Zimbabwe,6258856.188,3480381.867,
