Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bhutan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.266933468,5.436834547,5.8332704,5.590028687,5.91991995,5.350184997,5.280049831,5.350050492,5.37005068,4.980047,5.600052851,7.150067479,8.880083807,10.22009645,12.65011939,14.69013864,14.65013826,15.20014345,15.32014459,13.41012656,14.90014062,16.45015525,18.66017611,21.27020074,21.73020508,21.00019819,#N/A,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.022993279,#N/A,#N/A,0.899909385,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.135845343,6.592728225,6.975640618,7.362380116,7.759948642,7.949954683,9.160086449,9.860093056,10.79010183,11.90011231,13.29012543,14.00013213,15.53014657,15.79014902,16.97016016,17.70016705,17.71016714,18.15017129,21.59020376,21.13119943,22.93021641,24.07022716,25.82624374,28.16926585,31.893301,35.06033089,37.890486,40.11742031,#N/A,#N/A
Brunei,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.457826764,9.542777304,8.863172986,9.960093999,10.15017366,11.19025144,11.09010466,11.06010438,10.75010146,11.35010712,11.79011127,12.30011608,12.85012127,13.40012646,13.43012675,13.43012675,14.30013496,14.25013449,14.20013402,12.1001142,12.55011844,13.49012731,12.86012137,12.92012193,11.89011221,12.4501175,#N/A,#N/A,#N/A,#N/A
Bulgaria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.009995847,0.009190224,0.040000378,0.069999245,0.060031715,0.050120818,0.039926754,0.040000378,0.030000283,0.020000189,0.020000189,0.020000189,0.020284128,0.021312257,0.354578967,0.502074728,0.480692026,0.300002831,0.110001038,0.010000094,0.050000472,0.350003303,0.380706133,0.278002624,0.180001699,0.104355052,#N/A,#N/A,#N/A,#N/A
Burkina Faso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
