Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Benin,0.006526525,0.006574612,0.004640112,0.006731564,0.006673241,0.007698814,0.007501055,0.005942365,0.007368095,0.007592611,0.008724107,0.01019655,0.011329212,0.012457708,0.013034078,0.014067548,0.015359648,0.016615296,0.01791128,0.008794608,0.023423692,0.026659533,0.030545252,0.035464365,0.037393187,0.03510334,0.047978104,0.056636093,0.057919428,0.064302415,0.073744836,0.068747888,0.06524809,0.06648065,0.070284661,0.07773266,0.09822425,#N/A,#N/A,#N/A,#N/A
Bhutan,0.000135564,0.000495196,0.000509236,0.000501201,0.000513555,0.000555178,0.002721179,0.009399355,0.011871616,0.01202002,0.012655502,0.012864636,0.013061192,0.012871085,0.013644469,0.014642094,0.016237349,0.016378708,0.015843635,0.015849246,0.016206423,0.018032524,0.020082114,0.022251759,0.020803313,0.024333645,0.039975014,0.04956292,0.051850264,0.054070188,0.058367086,0.056603797,0.055540315,0.060885792,0.05903123,0.061747248,0.061788186,#N/A,#N/A,#N/A,#N/A
Bolivia,0.074548129,0.085532617,0.074472201,0.077373551,0.074595653,0.067154737,0.068174154,0.067039287,0.077011168,0.087252345,0.092257592,0.090781079,0.098022817,0.09670872,0.108020077,0.123788597,0.121256509,0.13599291,0.126144133,0.141700474,0.14872695,0.127276495,0.13882688,0.186630239,0.193554964,0.189623978,0.208718731,0.224261659,0.230186967,0.226865489,0.230573885,0.23859188,0.282684409,0.287167658,0.289650241,0.303396392,0.315379533,#N/A,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.148758373,0.107456183,0.113040824,0.18743133,0.116588963,0.166311738,0.196413889,0.199242397,0.22067626,0.21953871,0.220653932,0.192683959,0.198826691,0.183729915,0.187789605,0.179382335,0.202822041,0.24386461,0.267272357,0.267442465,0.248824647,0.255106434,0.251980725,0.250547901,0.257417375,#N/A,#N/A,#N/A,#N/A
Botswana,0.014768215,0.015538215,0.014496198,0.014564292,0.014537752,0.01896601,0.020171172,0.021299448,0.024545135,0.027702771,0.030628088,0.032037604,0.038802296,0.037664416,0.037507983,0.037968558,0.035968421,0.037113613,0.03978707,0.037627959,0.04904266,0.051553918,0.054092544,0.055276295,0.054389548,0.057853193,0.06175608,0.063397008,0.06594039,0.06221448,0.057171053,0.057700925,0.056619675,0.065533407,0.089412231,0.082009617,0.089737345,#N/A,#N/A,#N/A,#N/A
Brazil,3.971523626,3.860501222,3.922642722,3.937527458,4.294368208,4.592686449,4.973830448,5.120902162,5.293115139,5.467122561,6.169870565,6.095897092,6.213317009,6.446065733,6.760665745,7.185833003,7.638744976,8.032202314,8.292175961,8.474123359,8.714712755,8.499325168,8.661461902,8.801326133,9.19454487,9.479542228,9.724137305,10.3307231,10.80182474,10.68422754,11.71850131,12.16882576,12.44696133,12.82325915,13.13716238,12.95306933,12.53026084,#N/A,#N/A,#N/A,#N/A
Brunei,0.082324303,0.085120489,0.092861991,0.072980489,0.06448102,0.076953186,0.050989415,0.081432942,0.070541743,0.082876975,0.070126507,0.05604352,0.054801777,0.052087266,0.050060751,0.061915433,0.057663023,0.061666312,0.055774018,0.065806006,0.067095783,0.076286241,0.089079328,0.092156947,0.10233761,0.115285057,0.177669308,0.186514792,0.191561704,0.127084117,0.144752889,0.148690493,0.14454137,0.134429675,0.151186454,0.167067296,0.174504091,#N/A,#N/A,#N/A,#N/A
Bulgaria,1.350549946,1.341197866,1.385950711,1.406924232,1.404673019,1.459854119,1.439468882,1.433885557,1.436218806,1.327902176,1.199798818,0.933851906,0.926683795,0.903368927,0.909465936,0.994866973,1.002289511,0.918556985,0.850832312,0.769584445,0.772910313,0.788354442,0.799551435,0.804684176,0.809166939,0.843681532,0.860070885,0.83915404,0.839929217,0.719116641,0.735327913,0.793334069,0.755840084,0.706453585,0.75273493,0.791891829,0.754852428,#N/A,#N/A,#N/A,#N/A
Burkina Faso,0.0060363,0.006019807,0.006019807,0.006019807,0.0060363,0.005819147,0.006886218,0.007191413,0.007541693,0.006759017,0.006957066,0.008048755,0.008140175,0.009032331,0.010072718,0.010299294,0.010954869,0.017292804,0.01553434,0.015996774,0.014532701,0.01614896,0.016919024,0.018722527,0.016859639,0.017903832,0.017659539,0.025012984,0.027324624,0.025667834,0.028015678,0.031913214,0.037628276,0.045116419,0.042013353,0.053391343,0.044976949,#N/A,#N/A,#N/A,#N/A
Burundi,0.001594159,0.001802375,0.001583531,0.002006369,0.002584172,0.002675837,0.002803313,0.003234516,0.004643764,0.005155467,0.00542833,0.006120982,0.005655277,0.006338126,0.006640686,0.006410786,0.006678272,0.006679789,0.006757843,0.006658772,0.005638039,0.004800881,0.004541802,0.003680759,0.00424343,0.0036806,0.00426485,0.006674036,0.004390202,0.004433741,0.005083942,0.005596462,0.005246032,0.005888502,0.005108063,0.007078254,0.008250793,#N/A,#N/A,#N/A,#N/A
