Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Area
Israel,3700920,3770690,3838110,3903950,3969180,4035060,4100540,4167130,4241790,4333580,4448350,4589310,4752830,4929410,5105570,5271370,5424240,5566550,5699280,5824940,5945950,6060680,6169310,6278370,6396510,6529470,6680640,6847150,7020830,7190040,7346450,7487100,7614950,7734830,7854220,7978500,8108980,8243850,37188500,8519377,8655535,20770
Italy,56445250,56507300,56548430,56564350,56579600,56594250,56595750,56603770,56634250,56677450,56725450,56762100,56803120,56834450,56843650,56844280,56864300,56893900,56907320,56918100,56946750,56977450,57076900,57358900,57732680,57993180,58163930,58491950,58870200,59119080,59299250,59383120,59576100,60371120,60790750,60714350,60617980,60523520,60406230,60550075,60461826,301336
Ivory Coast,56445250,56507300,56548430,56564350,56579600,56594250,56595750,56603770,56634250,56677450,56725450,56762100,56803120,56834450,56843650,56844280,56864300,56893900,56907320,56918100,56946750,56977450,57076900,57358900,57732680,57993180,58163930,58491950,58870200,59119080,59299250,59383120,59576100,60371120,60790750,60714350,60617980,60523520,60406230,25716544,26378274,322463
Jamaica,2162840,2196920,2234060,2271740,2306370,2335510,2358170,2375400,2389420,2403460,2419900,2439330,2461050,2484580,2509040,2533710,2558630,2583910,2608870,2632680,2654700,2674710,2692840,2709440,2725020,2740000,2754410,2768230,2781870,2795840,2810460,2825930,2842130,2858710,2875140,2891020,2906240,2920850,2934290,2948279,2961167,10991
Japan,1.18E+08,1.19E+08,1.20E+08,1.20E+08,1.21E+08,1.22E+08,1.22E+08,1.23E+08,1.24E+08,1.24E+08,1.24E+08,1.25E+08,1.25E+08,1.26E+08,1.26E+08,1.26E+08,1.27E+08,1.27E+08,1.27E+08,1.27E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.29E+08,1.29E+08,1.29E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.28E+08,1.27E+08,37189500,1.27E+08,1.26E+08,377930
Jordan,2378000,2464870,2563520,2671410,2784460,2900050,3015290,3131800,3256550,3399330,3565890,3760490,3977670,4201560,4410360,4588840,4732850,4848540,4943980,5031750,5122500,5217330,5317510,5434040,5580240,5765640,5991550,6255290,6556470,6893260,7261540,7662860,8089960,8518990,8918820,9266570,9554290,9785840,37189500,10101694,10203134,89342
Kazakhstan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16302800,16181200,16022200,15839400,15631900,15406000,15190200,15020600,14922700,14910200,14976200,15100000,15250000,15402800,15551300,15702100,15862100,16043000,16252300,16490700,16751500,17026100,17302600,17572000,17830900,18080000,18312200,18551427,18776707,2724900
Kenya,16417200,17063900,17736300,18431800,19146400,19877100,20622600,21382100,22153700,22935100,23724600,24521700,25326100,26136200,26950500,27768300,28589500,29415700,30250500,31098800,31964600,32848600,33751800,34678800,35635300,36624900,37649000,38705900,39792000,40901800,42030700,43178300,44343500,45520000,46700100,47878300,49051500,50221100,51404500,52573973,53771296,580367
Kosovo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1747720,1761700,1775680,1780900,1786130,1791350,1796580,1801800,1815440,1829080,1842720,1600000,1800000,10887
Kuwait,1368680,1439330,1507640,1576970,1652150,1735280,1832300,1938920,2034850,2092790,2095350,2031300,1912430,1772610,1659300,1605910,1626860,1710260,1831120,1951640,2045120,2103270,2136990,2161630,2200500,2270200,2373660,2504030,2656010,2821040,2991880,3168050,3348850,3526380,3690940,3835590,3956860,4056100,37190500,4207083,4270571,17818
Kyrgyzstan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4454190,4483840,4518810,4566100,4629400,4705650,4786770,4861120,4920710,4962840,4991480,5013540,5039000,5075340,5124380,5184380,5254970,5334710,5422300,5517930,5621580,5731310,5844520,5959130,6074330,6189730,37190500,6415850,6524195,199951
Laos,3258150,3323350,3401190,3489910,3586310,3687890,3794200,3905530,4020820,4138850,4258470,4379230,4500350,4619950,4735840,4846480,4951190,5050310,5144600,5235340,5323700,5409580,5493250,5576640,5662200,5751670,5846080,5944950,6046630,6148620,6249170,6347560,6444530,6541300,6639760,6741160,6845850,6953030,7060540,7169455,7275560,236800
Latvia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2585680,2540900,2500580,2469530,2444910,2420790,2399250,2381720,2353380,2320960,2299390,2276520,2249720,2227870,2208840,2191810,2162830,2120500,2074600,2044810,2023820,2001470,1986100,1968960,1950120,1935830,1921170,1906743,1886198,64559
Lebanon,2588930,2594300,2606150,2622070,2638060,2651990,2660870,2667960,2684680,2726440,2803030,2921700,3076130,3246130,3403360,3528380,3610660,3658430,3693510,3747760,3842770,3991000,4182210,4388380,4569380,4698760,4759760,4767350,4764750,4813030,4953060,5202020,5537620,5913020,6261050,6532680,6714280,6819370,6821400,6855713,6825445,10452
Lesotho,1340260,1377810,1415360,1452730,1489690,1526130,1561690,1596400,1630990,1666560,1703760,1742530,1782280,1822240,1861320,1898600,1934290,1968050,1997520,2019730,2032810,2035740,2029830,2018350,2005950,1996110,1989930,1986930,1987130,1990140,1995570,2003790,2014990,2028530,2043450,2059010,2075040,2091530,37191500,2125268,2142249,30355
Liberia,1852990,1911540,1970100,2028650,2087200,2145760,2131790,2117820,2103850,2089890,2075920,2069670,2063410,2057160,2050910,2044660,2205420,2366170,2526930,2687690,2848450,2922380,2996310,3070250,3144180,3218110,3352760,3487410,3622060,3756710,3891360,4007530,4123710,4239880,4356060,4472230,4589320,4706410,37191500,4937374,5057681,111369
Libya,3219460,3347780,3480440,3614680,3746710,3873780,3994600,4109720,4220450,4328940,4436660,4544250,4650900,4755130,4854870,4948800,5036170,5118010,5196770,5275920,5357890,5443250,5531100,5620540,5710160,5798620,5886870,5974790,6058740,6133990,6197670,6247440,6285750,6320350,6362040,6418310,6492160,6580720,6677580,6777452,6871292,1759540
Lithuania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3693930,3671300,3642990,3615210,3588010,3562260,3536400,3512070,3487000,3454640,3431500,3398930,3355220,3289830,3249980,3212600,3183860,3141980,3052590,3003640,2971910,2943470,2921260,2888560,2847900,2808900,2794180,2759627,2722289,65300
Luxembourg,364325,365319,365506,365665,366049,366832,368641,371062,373812,377650,382488,387650,392819,398156,403606,409369,414881,420100,425362,431256,436975,442156,446706,452462,458879,466140,473524,480945,489862,498854,508175,519973,532469,544940,557979,571265,585260,597753,609436,615729,625978,2586
Macedonia,238085,243373,251154,260921,271914,283490,295597,308181,320774,332783,343816,353623,362308,370195,377805,385517,393376,401353,409620,418388,427772,437928,448813,460157,471600,482863,493804,504504,515232,526401,538215,550833,564037,577368,590210,602093,612824,622578,37192500,2083459,2083374,25713
Madagascar,8716550,8985940,9255330,9524720,9794100,10063500,10370500,10677500,10984600,11291600,11598700,11974000,12349300,12724700,13100000,13475400,13933700,14392000,14850200,15308500,15766800,16280800,16794800,17308800,17822700,18336700,18899700,19462700,20025700,20588700,21151600,21768100,22384600,23001100,23617600,24234100,24925500,25616900,37192500,26969307,27691018,587041
Malawi,6250430,6412380,6565980,6737920,6964610,7268270,7666390,8141140,8636690,9075570,9404500,9600360,9685970,9710330,9745700,9844420,10022800,10264900,10552300,10854300,11148800,11432000,11713700,12000200,12301800,12626000,12973700,13341800,13727900,14128200,14539600,14962100,15396000,15839300,16289500,16745300,17205200,17670200,18156800,18628747,19129952,118484
Malaysia,13840530,14179800,14519620,14871150,15245600,15654200,16104120,16587150,17088770,17594250,18090570,18576150,19059780,19546920,20042900,20553550,21084650,21631620,22183580,22729200,23258470,23769380,24268730,24762250,25255400,25754270,26264930,26782550,27295800,27793220,28263550,28701380,29114620,29515020,29914470,30323400,30742550,31164950,31587030,31949777,32365999,330803
Mali,7090120,7234730,7388670,7545160,7694860,7831890,7952860,8062220,8171520,8296920,8449920,8635530,8850330,9087170,9334890,9585660,9837580,10094400,10360600,10642900,10946500,11271600,11616900,11982700,12369100,12775500,13203400,13651500,14113600,14581400,15049300,15514600,15979500,16449800,16934200,17438800,17965400,18512400,19091900,19658031,20250833,1240192
Mauritania,1540640,1588520,1636400,1684280,1732160,1780030,1830900,1881760,1932620,1983480,2034350,2090200,2146060,2201920,2257770,2313630,2376950,2440260,2503580,2566900,2630220,2709010,2787810,2866610,2945400,3024200,3118200,3212200,3306200,3400200,3494200,3604620,3715040,3825460,3935880,4046300,4166980,4287650,37193500,4525696,4649658,1030700
Mexico,67967050,69612380,71264750,72916280,74558770,76185450,77796660,79397050,80987200,82567580,84139400,85705880,87265930,88813720,90343430,91848920,93326070,94779300,96217030,97648280,99077140,1.00E+08,1.02E+08,1.03E+08,1.05E+08,1.06E+08,1.08E+08,1.09E+08,1.11E+08,1.13E+08,1.14E+08,1.16E+08,1.17E+08,1.19E+08,1.21E+08,1.22E+08,1.24E+08,1.25E+08,37193500,1.28E+08,1.29E+08,1964375
Moldova,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4356900,4345600,4350500,4345700,4331900,4317500,3655600,3649900,3644100,3635100,3627800,3618300,3607400,3600400,3589900,3581100,3572700,3567500,3562000,3560000,3559500,3558600,3556400,3554100,3552000,3549200,3545100,4043263,4033963,33846
Mongolia,1689620,1733470,1777730,1823210,1871090,1921890,1976310,2033350,2089710,2141000,2184140,2217920,2243500,2263200,2280480,2298020,2316570,2335740,2355670,2376230,2397420,2419590,2443260,2468760,2496390,2526430,2558850,2593820,2631900,2673790,2719900,2770360,2824700,2881780,2940110,2998430,3056360,3113790,3168620,3225167,3278290,1564110
Montenegro,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,617966,619544,621123,622701,624279,624815,625350,625886,626421,626957,627178,627399,627620,627987,628066,13812
Morocco,19990000,20479700,20984000,21495100,22002600,22499100,22980300,23447300,23903600,24355600,24807500,25260400,25711400,26155200,26584500,26994300,27383500,27754600,28110400,28455500,28793700,29126300,29454800,29782900,30115200,30455600,30804700,31163700,31536800,31929100,32343400,32781900,33241900,33715700,34192400,34663600,35126300,35581300,37194500,36471769,36910560,446550
Mozambique,11630200,11913100,12189800,12439800,12636100,12764400,12808600,12786300,12758000,12806000,12987300,13328000,13806000,14371000,14948000,15483300,15960500,16397200,16813900,17244200,17711900,18221900,18764200,19331100,19910600,20493900,21080100,21673300,22276600,22894700,23531600,24187500,24862700,25560800,26286200,27042000,27829900,28649000,37194500,30366036,31255435,801590
Myanmar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54045420,54409800,676578
Namibia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2494530,2540905,825615
Nepal,15016400,15367200,15729400,16100600,16477500,16858300,17239700,17623700,18020800,18445000,18905500,19405500,19938300,20490000,21040900,21576100,22090300,22584800,23057900,23510000,23941100,24347100,24725600,25080900,25419300,25744500,26066700,26382600,26666600,26883500,27013200,27041200,26989200,26916800,26906000,27015000,27263400,27632700,28134100,28608710,29136808,147181
Netherlands,14164500,14256850,14319400,14373950,14431600,14501050,14582970,14677530,14771380,14859820,14966250,15084650,15197950,15303170,15393150,15467750,15539650,15621550,15720450,15825080,15940900,16060950,16159850,16233470,16287720,16323450,16349080,16387620,16455650,16541550,16625500,16702380,16761150,16810650,16873950,16949700,17043100,17143750,37195500,17097130,17134872,41850
New Caledonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,282750,285498,18575
New Zealand,3152975,3173380,3198605,3226058,3252702,3276710,3297978,3318718,3342772,3371423,3444225,3515325,3517317,3557840,3603145,3655192,3712318,3765167,3804173,3830005,3850842,3876323,3924355,3998650,4067165,4119125,4166592,4211695,4248375,4288242,4335420,4374720,4401455,4431857,4486002,4566038,4659575,4759505,4848590,4783063,4822233,270467
Nicaragua,3265520,3360140,3455130,3549710,3642980,3734340,3823130,3909670,3995530,4082960,4173440,4267570,4364510,4462500,4559010,4652190,4741570,4827660,4910640,4991040,5069310,5145370,5219320,5292120,5364930,5438690,5513760,5590070,5667440,5745540,5824060,5903040,5982530,6062460,6142730,6223230,6303970,6384840,6464750,6545502,6624554,130373
Niger,5989000,6163710,6343530,6528650,6719310,6915990,7118880,7328930,7548430,7780240,8026590,8288740,8566770,8860300,9168320,9490290,9826600,10178200,10545700,10929900,11331600,11751400,12190000,12648000,13125900,13624500,14144000,14685400,15250900,15843100,16464000,17114800,17795200,18504300,19240200,20001700,20788800,21602400,22470500,23310715,24206644,1267000
Nigeria,73423600,75440500,77427500,79414800,81448800,83562800,85766400,88048000,90395300,92788000,95212500,97667600,1.00E+08,1.03E+08,1.05E+08,1.08E+08,1.11E+08,1.13E+08,1.16E+08,1.19E+08,1.22E+08,1.25E+08,1.29E+08,1.32E+08,1.35E+08,1.39E+08,1.43E+08,1.46E+08,1.50E+08,1.54E+08,1.59E+08,1.63E+08,1.67E+08,1.72E+08,1.76E+08,1.81E+08,1.86E+08,1.91E+08,37196500,2.01E+08,2.06E+08,923768
North Korea,17472100,17731200,18008600,18298200,18590100,18877200,19156800,19432000,19708300,19993800,20293100,20609200,20937400,21265800,21578000,21862300,22113400,22335300,22536800,22731500,22929100,23133000,23339400,23542400,23732700,23904200,24054900,24188300,24310100,24428300,24548800,24673400,24800600,24929500,25057800,25183800,25307700,25429800,37196500,25666161,25778816,120538
Northern Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1988660,1984020,1981710,1983260,1989440,1999590,2012050,2024390,2034820,2042840,2048930,2053430,2057040,2060280,2063130,2065410,2067310,2069030,2070740,2072480,2074270,2076060,2077780,2079330,2080750,2082000,2082460,3.15E+08,326000,3355
Norway,4087300,4101540,4116717,4129910,4141538,4154185,4169395,4189750,4212290,4228455,4243560,4264705,4289592,4315195,4339560,4361878,4384178,4408270,4434930,4466060,4494085,4516330,4541683,4568005,4595522,4627522,4665790,4716155,4775970,4836095,4897018,4961285,5026745,5086710,5144545,5194135,5240470,5281630,5315990,5378857,5421241,323802
Oman,1154370,1220580,1290120,1361080,1431070,1498410,1561180,1619870,1678120,1741160,1812160,1893760,1983270,2072110,2148420,2204270,2236650,2249760,2251860,2254900,2267970,2294960,2334860,2386160,2445520,2511250,2580750,2657160,2750960,2876190,3041440,3251100,3498030,3764800,4027250,4267340,4479220,4665930,4812830,4974986,5106626,309500
Pakistan,78054300,80680500,83431600,86285900,89213700,92191500,95215400,98285800,1.01E+08,1.05E+08,1.08E+08,1.11E+08,1.14E+08,1.17E+08,1.20E+08,1.24E+08,1.27E+08,1.31E+08,1.35E+08,1.39E+08,1.42E+08,1.46E+08,1.50E+08,1.53E+08,1.57E+08,1.60E+08,1.64E+08,1.68E+08,1.72E+08,1.76E+08,1.79E+08,1.83E+08,1.87E+08,1.91E+08,1.95E+08,1.99E+08,2.04E+08,2.08E+08,37197500,2.17E+08,2.21E+08,881912
Panama,1978490,2025960,2073750,2121860,2170330,2219200,2268500,2318260,2368560,2419420,2470950,2523110,2575950,2629580,2684120,2739670,2796290,2853910,2912320,2971200,3030330,3089640,3149200,3209060,3269360,3330220,3391670,3453670,3516200,3579220,3642690,3706480,3770640,3835450,3901310,3968490,4037070,4106760,37197500,4246439,4314767,75417
Papua New Guinea,3571210,3668100,3768490,3871490,3975950,4081020,4186500,4292580,4399320,4507000,4615840,4725540,4836220,4949050,5065660,5187060,5314260,5446630,5581770,5716170,5847590,5974630,6098620,6223380,6354250,6494900,6646890,6808500,6976200,7144770,7310510,7472200,7631000,7788390,7946730,8107770,8271770,8438040,8607700,8776109,8947024,462840
Paraguay,3181630,3272920,3368760,3468530,3571270,3676210,3783070,3891730,4001680,4112400,4223410,4334350,4445020,4555520,4666100,4776840,4887640,4998100,5107840,5216350,5323200,5428440,5531960,5632980,5730560,5824100,5913210,5998430,6081300,6163970,6248020,6333980,6421510,6510270,6599520,6688750,6777880,6867060,6955550,7044636,7132538,406752
Peru,17547600,17985400,18426400,18871000,19319800,19772900,20230400,20691300,21153500,21614200,22071400,22522400,22966800,23408100,23851400,24299200,24753800,25211000,25658100,26078300,26459900,26799300,27101000,27372200,27624200,27866100,28102100,28333100,28562300,28792700,29027700,29264300,29506800,29774000,30090400,30470700,30926000,31444300,31953500,32510453,32971854,1285216
Philippines,47522120,48844920,50203480,51594280,53013650,54459800,55939080,57451850,58988050,60536950,62089600,63646350,65213100,66791250,68381850,69986480,71607620,73244000,74891050,76543720,78200520,79873020,81561150,83245380,84906000,86522600,88080850,89595670,91095880,92610500,94167670,95780600,97429300,99085250,1.01E+08,1.02E+08,1.04E+08,1.05E+08,37198500,1.08E+08,1.10E+08,342353
Poland,35614330,35939520,36272520,36615100,36943930,37236530,37485030,37692110,37839530,37980750,38128900,38261950,38377270,38472250,38552120,38598600,38628120,38652250,38664350,38414680,38257450,38248680,38227400,38201100,38180100,38163330,38137350,38119330,38128300,38065250,38047780,38063380,38063020,38034620,38010200,37981600,37970800,37975300,37198500,37887768,37846611,312679
Portugal,9779495,9859439,9918795,9962365,10001320,10025350,10033250,10028800,10018200,10002750,9980025,9957686,9953110,9967103,9995822,10030550,10069000,10115200,10166800,10225600,10300120,10370720,10425880,10462350,10486600,10505500,10524850,10545580,10559400,10569550,10573000,10553780,10507950,10449800,10394500,10353900,10321500,10297970,10282000,10226187,10196709,92090
Puerto Rico,3090690,3131510,3168340,3201860,3233170,3263170,3291750,3318840,3345570,3373370,3403170,3435250,3469070,3503470,3536810,3567690,3596100,3621900,3643670,3659730,3668960,3670310,3664320,3653660,3642000,3631890,3623780,3616340,3608030,3596530,3579840,3559860,3536570,3503860,3453670,3381510,3283120,3163680,3062730,2933408,2860853,8870
Qatar,223622,247984,277229,309299,341272,370886,397739,422154,443611,461688,476275,487354,495403,501479,507044,513447,522531,535320,551566,570486,592467,615013,640872,681791,753332,865410,1022700,1218440,1436670,1654940,1856330,2035860,2196080,2336580,2459200,2565710,2654380,2724730,2776840,2832067,2881053,11586
Republic of Serbia,223622,247984,277229,309299,341272,370886,397739,422154,443611,461688,476275,487354,495403,501479,507044,513447,522531,535320,551566,570486,592467,615013,640872,681791,753332,865410,1022700,1218440,1436670,1654940,1856330,2035860,2196080,2336580,2459200,2565710,2654380,2724730,37199500,8772235,8737371,88361
Republic of the Congo,223622,247984,277229,309299,341272,370886,397739,422154,443611,461688,476275,487354,495403,501479,507044,513447,522531,535320,551566,570486,592467,615013,640872,681791,753332,865410,1022700,1218440,1436670,1654940,1856330,2035860,2196080,2336580,2459200,2565710,2654380,2724730,37199500,4.98E+09,5518087,342000
Romania,22225950,22370880,22488600,22568800,22652280,22744400,22851380,22963000,23071120,23173950,23199450,22953380,22790350,22759480,22725750,22677220,22609720,22547000,22502650,22467900,22439850,22057350,21704750,21561000,21434400,21304000,21177950,20821100,20513500,20349300,20234950,20134650,20048550,19974600,19899400,19801850,19687680,19573120,19458030,19364557,19237691,238391
Russia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.48E+08,1.48E+08,1.48E+08,1.48E+08,1.48E+08,1.48E+08,1.47E+08,1.47E+08,1.46E+08,1.46E+08,1.45E+08,1.45E+08,1.44E+08,1.44E+08,1.43E+08,1.43E+08,1.43E+08,1.43E+08,1.44E+08,1.44E+08,1.44E+08,1.44E+08,1.45E+08,1.45E+08,1.45E+08,1.46E+08,1.46E+08,1.46E+08,1.46E+08,17098242
Rwanda,5153310,5329250,5504850,5690990,5902850,6146880,6443750,6779980,7088190,7276980,7288880,7083930,6702240,6263760,5936250,5836490,6013110,6419900,6962800,7501240,7933690,8231150,8427060,8557160,8680520,8840220,9043340,9273760,9524530,9782770,10039300,10293300,10549700,10811500,11083600,11369100,11668800,11981000,12304700,12626950,12952218,26338
Saudi Arabia,9691470,10311800,10988800,11701100,12418800,13119000,13794200,14445700,15070100,15666300,16233800,16772700,17282700,17763300,18214500,18638800,19033800,19407100,19783300,20194500,20663800,21202700,21805300,22456600,23132700,23816200,24498300,25184600,25888500,26630300,27421500,28267600,29154900,30052100,30916600,31717700,32443400,33101200,37200500,34268528,34813871,2149690
Senegal,5583160,5740440,5909730,6089570,6277420,6471330,6670670,6875750,7086620,7303510,7526310,7755500,7990090,8226750,8461070,8690160,8912870,9130880,9347780,9568720,9797730,10036100,10283700,10541500,10810100,11090100,11382300,11687100,12004700,12335100,12678100,13033800,13402000,13782400,14174700,14578500,14993500,15419300,37200500,16296364,16743927,196722
Sierra Leone,3388490,3471860,3555220,3638580,3721940,3805300,3908200,4011090,4113980,4216870,4319760,4316600,4313440,4310280,4307120,4303950,4360080,4416200,4472320,4528450,4584570,4796780,5008990,5221210,5433420,5645630,5799630,5953630,6107630,6261630,6415640,6566890,6718150,6869400,7020650,7171910,7332920,7493940,7654960,7813215,7976983,71740
Slovakia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5328095,5348800,5363445,5374755,5384380,5391232,5396680,5386235,5378890,5376400,5372998,5372382,5372840,5373085,5374980,5380025,5387405,5391685,5399868,5408395,5414030,5419325,5424415,5431933,5440205,5447470,5457013,5459642,49037
Slovenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1994080,1989410,1989480,1990270,1986990,1984920,1978330,1987760,1990090,1994030,1995030,1996430,1997590,2003360,2010380,2010270,2032360,2046980,2050190,2055500,2058820,2061080,2062870,2064190,2065900,2066880,2080910,2078654,2078938,20273
Solomon Islands,230550,238597,246645,254692,262740,270787,279003,287220,295436,303653,311869,321350,330832,340313,349795,359276,369954,380632,391309,401987,412665,424116,435566,447017,458467,469918,481507,493095,504684,516272,527861,542915,557970,573024,588079,603133,619882,636631,37201500,669823,686884,28896
Somalia,6281140,6354640,6428130,6501630,6575130,6648630,6763920,6879210,6994500,7109800,7225090,7278400,7331710,7385020,7438330,7491650,7767770,8043890,8320010,8596130,8872250,9187170,9502090,9817010,10131900,10446900,10766300,11085700,11405100,11724500,12043900,12394500,12745200,13095900,13446500,13797200,14216400,14635600,37201500,15442905,15893222,637657
Somaliland,6281140,6354640,6428130,6501630,6575130,6648630,6763920,6879210,6994500,7109800,7225090,7278400,7331710,7385020,7438330,7491650,7767770,8043890,8320010,8596130,8872250,9187170,9502090,9817010,10131900,10446900,10766300,11085700,11405100,11724500,12043900,12394500,12745200,13095900,13446500,13797200,14216400,14635600,15054800,4.42E+09,4979218,176120
South Africa,28653300,29434570,30256230,31099950,31947220,32781000,33596020,34404230,35218100,36049650,36914080,37832270,38791930,39754480,40680350,41534880,42315380,43045120,43736120,44400550,45045380,45655070,46226800,46785070,47355700,47959030,48586750,49226530,49887600,50579720,51314550,52105770,52944270,53804320,54659300,55487480,56294000,57092650,57879600,58558270,59308690,1221037
South Korea,38115150,38673480,39245070,39812320,40357350,40862500,41317120,41734150,42135300,42542620,42976220,43441480,43924380,44411650,44889720,45348700,45796520,46238770,46664430,47061670,47419980,47736500,48018600,48273300,48507930,48725750,48913650,49070880,49218880,49379650,49575550,49821680,50101630,50385020,50641000,50842270,50985700,51089670,51165450,51225308,51269185,100210
South Sudan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11062113,11193725,619745
Spain,37527250,37789420,38012020,38191850,38349730,38484950,38597980,38696500,38775780,38834130,38870850,38987620,39184270,39385580,39571750,39745150,39910230,40078900,40243520,40407700,40592300,40896620,41530620,42277570,43015500,43742400,44494150,45337330,46025400,46393850,46599480,46761570,46761770,46593070,46473050,46443650,46495050,46609500,37202500,46736776,46754778,505992
Sri Lanka,15035800,15272800,15501200,15724600,15948500,16176300,16408900,16644000,16878200,17106800,17325800,17535700,17736800,17924800,18094500,18242900,18367300,18470900,18564600,18663300,18777600,18911700,19062500,19224000,19387200,19545000,19696000,19842000,19984000,20123500,20261700,20398500,20532600,20663100,20788500,20908000,21021200,21128000,21223100,21323733,21413249,65610
Sudan,14507500,15027200,15562100,16107600,16658000,17210200,17757500,18303400,18867600,19476700,20147600,20891400,21696200,22527800,23338500,24094700,24782400,25413900,26015500,26626500,27275000,27971100,28704800,29460500,30214200,30949500,31661800,32360600,33060800,33783800,34545000,35349700,36193800,37072600,37977700,38902900,39847400,40813400,41825400,42813238,43849260,1886068
Suriname,359531,360144,360927,362282,364722,368636,374133,381033,388877,397082,405169,413009,420658,428028,435099,441851,448207,454165,459838,465380,470944,476574,482228,487938,493680,499461,505292,511181,517122,523113,529126,535177,541247,547295,553278,559136,564883,570501,575879,581372,586632,163820
Swaziland,359531,360144,360927,362282,364722,368636,374133,381033,388877,397082,405169,413009,420658,428028,435099,441851,448207,454165,459838,465380,470944,476574,482228,487938,493680,499461,505292,511181,517122,523113,529126,535177,541247,547295,553278,559136,564883,570501,37203500,1148130,1160164,17364
Sweden,8312390,8321135,8325820,8329418,8338112,8352324,8372750,8401875,8442091,8501482,8566782,8624062,8674053,8725197,8789654,8829580,8841875,8846450,8851811,8858762,8874779,8899252,8928915,8962590,8997995,9034115,9088691,9156800,9228814,9309055,9387488,9457622,9528500,9611500,9708923,9812145,9941100,10073330,37203500,10036379,10099265,450295
Switzerland,6335200,6372900,6409700,6427800,6455900,6484798,6523400,6566800,6620000,6673900,6750700,6842800,6908002,6968600,7019030,7062373,7081391,7096518,7123498,7164400,7204055,7255652,7313855,7364147,7415102,7459130,7508740,7593495,7701854,7785808,7870135,7954663,8039060,8139630,8237665,8327127,8419550,8484130,8544524,8591365,8654622,41284
