Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,274148.54,280908.83,259937.89,258509.30,255553.44,286067.65,292261.25,284586.88,446932.89,519539.69,527036.65,551637.76,514023.59,438583.68,660343.07,684342.49,836543.79,665094.70,699951.31,835541.77,843065.70,906091.37,962112.04,995560.66,952493.79,913130.45,#N/A,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,807020.03,690955.01,547076.22,601510.18,725028.59,891974.15,893819.93,898695.76,1003250.25,1630866.03,1713643.05,1548967.82,2133551.20,2070012.09,2316427.34,2940678.61,3703725.33,2474735.52,2630157.60,3060069.91,#N/A,#N/A,#N/A
Bhutan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90792.72,91066.45,#N/A,#N/A,#N/A,134496.43,182077.41,#N/A,#N/A,#N/A,#N/A,#N/A,387010.76,418909.98,498139.70,543270.69,529407.50,853803.67,1051747.36,991702.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1128597.25,1176929.92,1196333.44,1396248.58,1643040.00,1909178.24,2350150.40,1835407.74,1848731.52,1707551.64,1769357.30,1684499.93,1887075.57,2343292.51,2824839.30,3521958.53,5005960.93,4408975.78,5603872.62,7935744.42,8590084.89,9699044.73,10674099.38,9843076.58,8515081.05,9302385.89,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4823652.53,5980462.68,7053770.51,7559256.43,9720056.20,12188608.53,8363714.09,9222973.96,11050575.36,10019077.12,10295187.46,10990420.32,8993966.16,9141880.41,10474058.77,#N/A,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2078935.79,1810782.92,3373769.08,3964049.89,3235331.37,3162337.15,3053297.74,3986915.81,5211097.37,4728028.51,5656806.37,7272011.43,8025287.85,7433499.26,7830451.25,7626168.26,6102721.58,5284230.57,#N/A,#N/A,#N/A
Brazil,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19860207.62,22458519.55,22976327.68,22345572.35,27299446.78,35508473.86,53734285.31,56729460.74,65074597.89,60793118.72,51747393.44,55850546.40,55601756.87,47242654.09,48325649.66,62835613.54,73600375.46,91342783.55,120617439.70,172984767.60,127722340.40,181768424.10,226246755.80,223183474.70,239747516.00,229154460.90,171446211.70,137552002.50,150749493.90,#N/A,#N/A,#N/A
Brunei,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1475652.61,1820530.94,1873626.75,#N/A,#N/A,2110429.18,1565943.17,#N/A,#N/A,1100281.22,1498850.18,1243570.43,1427096.59,#N/A,1676185.39,2101094.66,2571625.91,2395646.05,2538787.69,3601394.75,3572226.69,3612434.59,3598739.68,3229077.31,2678505.86,3084533.90,#N/A,#N/A,#N/A
Bulgaria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5073922.05,4931953.66,4995096.06,5409527.04,6504688.33,7278158.96,7987045.94,10886579.89,14467100.66,18162452.72,23268729.35,30085387.54,37015366.39,23340811.55,25359886.22,32493611.42,32743133.70,34316572.91,34740042.45,29265116.18,28958139.91,34263590.07,#N/A,#N/A,#N/A
Burkina Faso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,483809.09,580572.74,726500.74,796083.66,781773.73,723595.86,788427.91,582013.92,785968.41,995361.53,1160682.93,#N/A,1559794.47,1870147.46,1870280.75,2048216.35,2406395.70,3567956.52,4365430.83,3575097.34,2979784.87,3342727.12,3717113.99,#N/A,#N/A,#N/A
Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,221209.60,203344.83,270489.66,139802.22,120567.43,162234.93,131972.13,150219.35,138898.12,128838.55,144650.75,172728.96,258152.95,433635.51,422995.87,315157.40,344795.67,404047.03,1127649.73,1003121.11,721660.45,672578.79,560585.35,625328.49,783299.13,#N/A,#N/A,#N/A
