Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,#N/A,#N/A,#N/A,#N/A,0.112859725,0.117692992,0.119633344,0.139624858,0.164304,0.190917824,0.23501504,0.183540774,0.184873152,0.170755164,0.17693573,0.168449993,0.188707557,0.234329251,0.28248393,0.352195853,0.500596093,0.440897578,0.560387262,0.793574442,0.859008489,0.969904473,1.067409938,0.984307658,0.851508105,0.930238589,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.482365253,0.598046268,0.705377051,0.755925643,0.97200562,1.218860853,0.836371409,0.922297396,1.105057536,1.001907712,1.029518746,1.099042032,0.899396616,0.914188041,1.047405877,#N/A,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.207893579,0.181078292,0.337376908,0.396404989,0.323533137,0.316233715,0.305329774,0.398691581,0.521109737,0.472802851,0.565680637,0.727201143,0.802528785,0.743349926,0.783045125,0.762616826,0.610272158,0.528423057,#N/A,#N/A,#N/A
Brazil,#N/A,1.986020762,2.245851955,2.297632768,2.234557235,2.729944678,3.550847386,5.373428531,5.672946074,6.507459789,6.079311872,5.174739344,5.58505464,5.560175687,4.724265409,4.832564966,6.283561354,7.360037546,9.134278355,12.06174397,17.29847676,12.77223404,18.17684241,22.62467558,22.31834747,23.9747516,22.91544609,17.14462117,13.75520025,15.07494939,#N/A,#N/A,#N/A
Brunei,#N/A,#N/A,#N/A,#N/A,0.147565261,0.182053094,0.187362675,#N/A,#N/A,0.211042918,0.156594317,#N/A,#N/A,0.110028122,0.149885018,0.124357043,0.142709659,#N/A,0.167618539,0.210109466,0.257162591,0.239564605,0.253878769,0.360139475,0.357222669,0.361243459,0.359873968,0.322907731,0.267850586,0.30845339,#N/A,#N/A,#N/A
Bulgaria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.507392205,0.493195366,0.499509606,0.540952704,0.650468833,0.727815896,0.798704594,1.088657989,1.446710066,1.816245272,2.326872935,3.008538754,3.701536639,2.334081155,2.535988622,3.249361142,3.27431337,3.431657291,3.474004245,2.926511618,2.895813991,3.426359007,#N/A,#N/A,#N/A
Burkina Faso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.048380909,0.058057274,0.072650074,0.079608366,0.078177373,0.072359586,0.078842791,0.058201392,0.078596841,0.099536153,0.116068293,#N/A,0.155979447,0.187014746,0.187028075,0.204821635,0.24063957,0.356795652,0.436543083,0.357509734,0.297978487,0.334272712,0.371711399,#N/A,#N/A,#N/A
Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,0.02212096,0.020334483,0.027048966,0.013980222,0.012056743,0.016223493,0.013197213,0.015021935,0.013889812,0.012883855,0.014465075,0.017272896,0.025815295,0.043363551,0.042299587,0.03151574,0.034479567,0.040404703,0.112764973,0.100312111,0.072166045,0.067257879,0.056058535,0.062532849,0.078329913,#N/A,#N/A,#N/A
Cambodia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.143877469,0.15069075,0.166723154,0.17746923,0.206269266,0.255196435,0.29892239,0.355484117,0.441665332,0.390571434,0.490252373,0.614333319,0.746670804,0.82315397,0.970242221,1.066892343,1.237100844,#N/A,#N/A,#N/A,#N/A
Cameroon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.107853261,0.12043337,0.149645453,0.149513542,0.131573939,0.148362958,0.184835126,0.18680391,0.216340037,0.240630252,0.280006929,0.314936125,0.326562249,0.413786342,0.378859851,0.51332828,0.507439781,0.651506754,0.66572002,0.756113852,0.603681482,0.489888703,1.036858174,#N/A,#N/A,#N/A
