Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,135938.576,126604.712,142930.384,161680.16,167637.248,176190.656,162217.536,140743.376,200215.099,181888.966,164484.703,202836.131,210971.656,207520.152,274429.335,266633.572,295057.821,249659.895,282039.532,396184.784,401139.617,413453.886,358429.021,313895.185,246162.629,277584.9601,#N/A,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,332872.64,225627.216,189795.148,204165.363,241718.935,271525.807,298312.458,288195.509,224593.084,274387.393,421063.805,425347.736,533902.342,388592.197,460338.227,602013.92,968325.892,625577.91,409752.038,726264.6087,#N/A,#N/A,#N/A
Bhutan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65820.26,66382.9,#N/A,#N/A,#N/A,108462.968,115950.052,#N/A,#N/A,#N/A,#N/A,#N/A,258368.29,413886.408,674523.575,521415.383,495846.19,413482.438,452962.797,531227.039,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,765313.792,808937.6,1124230.528,1181212.032,1086943.36,1272097.664,1323269.376,1401883.454,1456674.073,1352893.069,1371651.407,1650675.074,2254332.274,2797416.74,4223297.829,4812702.195,6899335.997,5296740.089,7051433.163,9213940.072,11990832.24,12371515.9,13034220.24,8923115.383,7228167.702,8338057.379,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1400284.313,1912379,2388483.188,3427781.565,4151965.348,5021082.673,3953920.135,4803108.533,5850078.709,5161808.996,5687463.465,5892102.201,5099185.764,5327578.339,6367922.272,#N/A,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2778832.289,2533037.21,2745130.539,3801646.079,3510761.984,4430627.567,4506181.889,5072523.185,4950877.494,3455712.288,4693238.1,5881918.175,5971245.09,7573298.685,7915468.175,6319190.972,7320705.826,5898102.75,#N/A,#N/A,#N/A
Brazil,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34381434.88,31411257.34,31621120,35975315.46,38700838.91,43557826.56,46504931.33,47745933.31,52985810.94,51119869.95,48011410.61,55118913.95,58286592.79,60438649.88,73203221.85,96677246.37,118528688.1,137806190.3,160648869.7,197942442.9,152994742.8,201915103.3,256038702.1,242578013.5,242032979.2,225098405.2,191126885.8,185235399.1,217739218.5,#N/A,#N/A,#N/A
Brunei,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2301218.304,2093947.392,2110309.504,#N/A,#N/A,2657078.784,2306827.776,#N/A,#N/A,3508207.36,3565731.84,4144343.04,5069124.801,#N/A,7636102.674,7693278.553,10569069.11,7171066.465,8907965.624,12457506.48,13000827.76,11447186.7,10508832.88,6352662.492,4875075.307,5570575.214,#N/A,#N/A,#N/A
Bulgaria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4890187.776,4939664.384,4292926.72,3924528.95,4821843.864,5113888.232,5748869.468,7540175.591,9931087.433,11739329.33,15101457.07,18575129.43,22485509.06,16502519.89,20608005.16,28165219.75,26698780.09,29510574.32,29386540.31,25778745.95,26688182.91,31588418.28,#N/A,#N/A,#N/A
Burkina Faso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,170945.472,198571.392,224579.392,246703.686,236441.245,183912.886,188240.936,170550.669,313984.875,392075.092,332297.398,#N/A,452663.44,470113.903,795541.759,1288133.624,2312411.713,2410950.682,2650538.211,2845603.23,2177496.616,2520012.338,2790162.436,#N/A,#N/A,#N/A
