Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bhutan,5.0004E-05,9.00018E-05,9.9999E-05,0.000199998,0.000399996,0.000500004,0.000800001,0.00183,0.001999998,0.001999998,0.001999998,0.001999998,0.056000006,0.046,0.064000006,0.068000001,0.064000006,0.053999999,0.050000004,0.050000004,0.050000004,0.084596002,0.088567004,0.066324004,0.029631003,0.085279003,0.097965002,0.105261008,0.101387059,0.080760874,0.060606648,0.103144767,0.112262997,0.077743908,0.121890435,0.084999899,0.11778286,0.108424733,#N/A,#N/A,#N/A
Bolivia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.499998216,1.299998454,1.399998335,1.63999805,1.68999799,5.452993515,7.034991634,6.771991946,7.438991153,7.551991019,7.97441869,7.172004158,5.639413293,5.765791143,5.895605989,6.133416706,6.76068096,6.704231027,6.393338397,7.102250554,6.97052671,6.236899583,6.166915666,6.047092808,6.501963268,7.131372365,#N/A,#N/A,#N/A
Botswana,0.371000012,0.380999547,0.414999507,0.39499953,0.392999533,0.43699948,0.489999417,0.486999421,0.608999276,0.662999212,0.793999056,0.783999068,0.900998929,0.889998942,0.900998929,0.909998918,0.727999134,0.775999077,0.923998901,0.718999145,0.939998882,0.914998912,0.952998867,0.822999021,0.910998917,0.984998829,0.961998856,0.827999015,0.909998918,0.737999122,0.987998825,0.787999063,1.470998251,1.495998221,1.711997964,2.08499752,1.876997768,2.21963536,2.483357047,#N/A,#N/A
Brazil,5.241993766,5.688993234,6.345992453,6.736991988,7.518991058,7.711990828,7.39099121,6.883991813,7.330991282,6.670992067,4.594994535,5.18799383,4.730994374,4.594994535,5.133993894,5.198993817,4.804994286,5.646993284,5.51599344,5.659993269,6.805991906,5.653993276,5.143993882,4.645994475,5.405993571,6.254992561,5.881993005,5.964992906,6.611992137,5.708993211,5.41499356,5.504993453,6.615992132,8.59398978,7.936990561,8.028990452,7.004991669,4.818994269,5.016994034,#N/A,#N/A
Brunei,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,30.21296407,29.24096523,32.21496169,32.38996148,33.65595997,30.87996328,35.22295811,36.81895621,34.14695939,34.29795921,31.67496233,28.38996624,30.32396394,29.03196547,28.7569658,30.82996334,31.30196277,29.70796467,30.11096419,25.29796991,26.43196857,26.61096835,26.01796906,27.29896753,26.4849685,24.69497063,25.67796946,28.45296616,28.78896576,27.18596767,29.40496503,37.12795585,33.42696025,28.62096596,31.26796281,35.85895735,31.23096286,34.27730124,#N/A,#N/A,#N/A
Burkina Faso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
